 7:40:37 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:40:37 PM
 7:40:39 PM | ℹ️ Info | Logged in as Revoltanator!
 7:41:47 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:41:47 PM
 7:41:48 PM | ℹ️ Info | Logged in as Revoltanator!
 7:41:56 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:43:10 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:43:10 PM
 7:43:28 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:43:28 PM
 7:43:30 PM | ℹ️ Info | Logged in as Revoltanator!
 7:43:36 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:43:50 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:43:50 PM
 7:43:51 PM | ℹ️ Info | Logged in as Revoltanator!
 7:46:56 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:46:56 PM
 7:46:58 PM | ℹ️ Info | Logged in as Revoltanator!
 7:51:46 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:52:43 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:52:43 PM
 7:52:45 PM | ℹ️ Info | Logged in as Revoltanator!
 7:52:48 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 7:57:51 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 7:57:51 PM
 7:57:52 PM | ℹ️ Info | Logged in as Revoltanator!
 8:03:46 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 8:03:46 PM
 8:03:48 PM | ℹ️ Info | Logged in as Revoltanator!
 8:07:55 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 8:07:55 PM
 8:08:27 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 8:08:27 PM
 8:08:29 PM | ℹ️ Info | Logged in as Revoltanator!
 8:10:46 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/24/2023 8:10:46 PM
